2025-03-17 17:41:14,124 INFO    MainThread:11452 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 17:41:14,125 INFO    MainThread:11452 [wandb_setup.py:_flush():67] Configure stats pid to 11452
2025-03-17 17:41:14,125 INFO    MainThread:11452 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-03-17 17:41:14,125 INFO    MainThread:11452 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\settings
2025-03-17 17:41:14,125 INFO    MainThread:11452 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 17:41:14,125 INFO    MainThread:11452 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250317_174114-0bydbs7x\logs\debug.log
2025-03-17 17:41:14,126 INFO    MainThread:11452 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_1\wandb\run-20250317_174114-0bydbs7x\logs\debug-internal.log
2025-03-17 17:41:14,126 INFO    MainThread:11452 [wandb_init.py:init():761] calling init triggers
2025-03-17 17:41:14,126 INFO    MainThread:11452 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-17 17:41:14,126 INFO    MainThread:11452 [wandb_init.py:init():784] starting backend
2025-03-17 17:41:14,126 INFO    MainThread:11452 [wandb_init.py:init():788] sending inform_init request
2025-03-17 17:41:14,155 INFO    MainThread:11452 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-17 17:41:14,155 INFO    MainThread:11452 [wandb_init.py:init():798] backend started and connected
2025-03-17 17:41:14,156 INFO    MainThread:11452 [wandb_init.py:init():891] updated telemetry
2025-03-17 17:41:14,203 INFO    MainThread:11452 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 17:41:14,682 INFO    MainThread:11452 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 17:41:14,865 INFO    MainThread:11452 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 17:41:14,865 INFO    MainThread:11452 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 17:41:14,866 INFO    MainThread:11452 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 17:41:14,866 INFO    MainThread:11452 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 17:41:14,869 INFO    MainThread:11452 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 17:42:25,643 INFO    MainThread:11452 [wandb_run.py:_finish():2112] finishing run teja_sai-indian-institute-of-technology-madras/Fashion_mnist_sweep_backprop/0bydbs7x
2025-03-17 17:42:25,644 INFO    MainThread:11452 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 17:42:25,644 INFO    MainThread:11452 [wandb_run.py:_restore():2322] restore
2025-03-17 17:42:25,644 INFO    MainThread:11452 [wandb_run.py:_restore():2328] restore done
2025-03-17 17:42:27,938 INFO    MainThread:11452 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 17:42:27,938 INFO    MainThread:11452 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 17:42:27,939 INFO    MainThread:11452 [wandb_run.py:_footer_sync_info():3917] logging synced files
